code,tên bệnh VI,tên bệnh EN,synonym
A16.3,"Lao hạch lympho trong lồng ngực, không đề cập đến việc xác nhận về vi khuẩn học và mô học","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao hach lympho trong long nguc, khong de cap den viec xac nhan ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.4,"Lao thanh quản, khí quản và phế quản, không đề cập đến việc xác định về vi khuẩn học và mô học","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao thanh quan, khi quan va phe quan, khong de cap den viec xac dinh ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.5,"Lao màng phổi, không đề cập đến việc xác nhận về vi khuẩn học và mô học","Tuberculous pleurisy, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao mang phoi, khong de cap den viec xac nhan ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.7,Lao hô hấp sơ nhiễm không đề cập đến việc xác nhận về vi khuẩn học và mô học,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,"lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao ho hap so nhiem khong de cap den viec xac nhan ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.8,"Lao hô hấp khác, không đề cập đến việc xác nhận về vi khuẩn học và mô học","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao ho hap khac, khong de cap den viec xac nhan ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A16.9,Lao hô hấp không xác định và không đề cập đến việc xác nhận về vi khuẩn học và mô học,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation","lao duong ho hap, khong xac nhan ve vi khuan hoc hoac mo hoc | lao ho hap khong xac dinh va khong de cap den viec xac nhan ve vi khuan hoc va mo hoc | lao đường hô hấp, không xác nhận về vi khuẩn học hoặc mô học"
A17,Lao hệ thần kinh,Tuberculosis of nervous system,lao he than kinh
A17.0†,Viêm màng não do lao (G01*),Tuberculous meningitis (G01*),lao he than kinh | lao hệ thần kinh | viem mang nao do lao (g01*)
A17.1†,U lao màng não (G07*),Meningeal tuberculoma (G07*),lao he than kinh | lao hệ thần kinh | u lao mang nao (g07*)
A17.8†,Lao khác của hệ thần kinh,Other tuberculosis of nervous system,lao he than kinh | lao hệ thần kinh | lao khac cua he than kinh
A17.9†,"Lao hệ thần kinh, không xác định (G99.8*)","Tuberculosis of nervous system, unspecified (G99.8*)","lao he than kinh | lao he than kinh, khong xac dinh (g99.8*) | lao hệ thần kinh"
A17†,Lao hệ thần kinh,Tuberculosis of nervous system,lao he than kinh
A18,Lao các cơ quan khác,Tuberculosis of other organs,lao cac co quan khac
A18.0†,Lao xương và khớp,Tuberculosis of bones and joints,lao cac co quan khac | lao các cơ quan khác | lao xuong va khop
A18.1,Lao hệ tiết niệu sinh dục,Tuberculosis of genitourinary system,lao cac co quan khac | lao các cơ quan khác | lao he tiet nieu sinh duc
A18.2,Bệnh lý hạch lympho ngoại vi do lao,Tuberculous peripheral lymphadenopathy,benh ly hach lympho ngoai vi do lao | lao cac co quan khac | lao các cơ quan khác | ly hach lympho ngoai vi do lao | lý hạch lympho ngoại vi do lao
A18.3,"Lao ruột, màng bụng và hạch mạc treo","Tuberculosis of intestines, peritoneum and mesenteric glands","lao cac co quan khac | lao các cơ quan khác | lao ruot, mang bung va hach mac treo"
