code,tên bệnh VI,tên bệnh EN,synonym
A22.7,Bệnh than thể nhiễm trùng huyết,Anthrax sepsis,benh than | benh than the nhiem trung huyet | bệnh than | than | than the nhiem trung huyet | than thể nhiễm trùng huyết
A22.8,Bệnh than thể khác,Other forms of anthrax,benh than | benh than the khac | bệnh than | than | than the khac | than thể khác
A22.9,Bệnh than không xác định,"Anthrax, unspecified",benh than | benh than khong xac dinh | bệnh than | than | than khong xac dinh | than không xác định
A23,Bệnh do Brucella,Brucellosis,benh do brucella | do brucella
A23.0,Bệnh do Brucella melitensis,Brucellosis due to Brucella melitensis,benh do brucella | benh do brucella melitensis | bệnh do brucella | do brucella | do brucella melitensis
A23.1,Bệnh do Brucella abortus,Brucellosis due to Brucella abortus,benh do brucella | benh do brucella abortus | bệnh do brucella | do brucella | do brucella abortus
A23.2,Bệnh do Brucella suis,Brucellosis due to Brucella suis,benh do brucella | benh do brucella suis | bệnh do brucella | do brucella | do brucella suis
A23.3,Bệnh do Brucella canis,Brucellosis due to Brucella canis,benh do brucella | benh do brucella canis | bệnh do brucella | do brucella | do brucella canis
A23.8,Bệnh do Brucella khác,Other brucellosis,benh do brucella | benh do brucella khac | bệnh do brucella | do brucella | do brucella khac | do brucella khác
A23.9,"Bệnh do Brucella, không xác định","Brucellosis, unspecified","benh do brucella | benh do brucella, khong xac dinh | bệnh do brucella | do brucella | do brucella, khong xac dinh | do brucella, không xác định"
A24,Bệnh Malleomyces mallei và bệnh Malleomyces pseudomallei,Glanders and melioidosis,benh malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei
A24.0,Nhiễm Malleomyces mallei (Bệnh sổ mũi ở ngựa),Glanders,benh malleomyces mallei va benh malleomyces pseudomallei | bệnh malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei | nhiem malleomyces mallei (benh so mui o ngua)
A24.1,Bệnh Malleomyces Pseudomallei cấp tính và tối cấp,Acute and fulminating melioidosis,benh malleomyces mallei va benh malleomyces pseudomallei | benh malleomyces pseudomallei cap tinh va toi cap | bệnh malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces pseudomallei cap tinh va toi cap | malleomyces pseudomallei cấp tính và tối cấp
A24.2,Bệnh Malleomyces Pseudomallei bán cấp và mạn tính,Subacute and chronic melioidosis,benh malleomyces mallei va benh malleomyces pseudomallei | benh malleomyces pseudomallei ban cap va man tinh | bệnh malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces pseudomallei ban cap va man tinh | malleomyces pseudomallei bán cấp và mạn tính
A24.3,Bệnh Malleomyces Pseudomallei khác,Other melioidosis,benh malleomyces mallei va benh malleomyces pseudomallei | benh malleomyces pseudomallei khac | bệnh malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces pseudomallei khac | malleomyces pseudomallei khác
A24.4,"Bệnh Malleomyces Pseudomallei, không xác định","Melioidosis, unspecified","benh malleomyces mallei va benh malleomyces pseudomallei | benh malleomyces pseudomallei, khong xac dinh | bệnh malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces mallei va benh malleomyces pseudomallei | malleomyces mallei và bệnh malleomyces pseudomallei | malleomyces pseudomallei, khong xac dinh | malleomyces pseudomallei, không xác định"
A25,Sốt do chuột cắn,Rat-bite fevers,sot do chuot can
A25.0,Bệnh do spirilla,Spirillosis,benh do spirilla | do spirilla | sot do chuot can | sốt do chuột cắn
A25.1,Bệnh do streptobacilla,Streptobacillosis,benh do streptobacilla | do streptobacilla | sot do chuot can | sốt do chuột cắn
A25.9,Sốt do chuột cắn không xác định,"Rat-bite fever, unspecified",sot do chuot can | sot do chuot can khong xac dinh | sốt do chuột cắn
A26,Bệnh do Erysipelothrix rhusiopathiae (viêm quầng),Erysipeloid,benh do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viêm quầng)
A26.0,Bệnh do Erysipelothrix ở da,Cutaneous erysipeloid,benh do erysipelothrix o da | benh do erysipelothrix rhusiopathiae (viem quang) | bệnh do erysipelothrix rhusiopathiae (viêm quầng) | do erysipelothrix o da | do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viêm quầng) | do erysipelothrix ở da
A26.7,Nhiễm trùng huyết do Erysipelothrix,Erysipelothrix sepsis,benh do erysipelothrix rhusiopathiae (viem quang) | bệnh do erysipelothrix rhusiopathiae (viêm quầng) | do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viêm quầng) | nhiem trung huyet do erysipelothrix
A26.8,Thể khác của viêm quầng,Other forms of erysipeloid,benh do erysipelothrix rhusiopathiae (viem quang) | bệnh do erysipelothrix rhusiopathiae (viêm quầng) | do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viêm quầng) | the khac cua viem quang
A26.9,Bệnh do Erysipelothrix không xác định,"Erysipeloid, unspecified",benh do erysipelothrix khong xac dinh | benh do erysipelothrix rhusiopathiae (viem quang) | bệnh do erysipelothrix rhusiopathiae (viêm quầng) | do erysipelothrix khong xac dinh | do erysipelothrix không xác định | do erysipelothrix rhusiopathiae (viem quang) | do erysipelothrix rhusiopathiae (viêm quầng)
A27,Bệnh do leptospira,Leptospirosis,benh do leptospira | do leptospira
A27.0,Bệnh do Leptospira gây vàng da xuất huyết,Leptospirosis icterohaemorrhagica,benh do leptospira | benh do leptospira gay vang da xuat huyet | bệnh do leptospira | do leptospira | do leptospira gay vang da xuat huyet | do leptospira gây vàng da xuất huyết
A27.8,Thể khác của nhiễm leptospira,Other forms of leptospirosis,benh do leptospira | bệnh do leptospira | do leptospira | the khac cua nhiem leptospira
A27.9,"Nhiễm leptospira, không xác định","Leptospirosis, unspecified","benh do leptospira | bệnh do leptospira | do leptospira | nhiem leptospira, khong xac dinh"
A28,Bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại,"Other zoonotic bacterial diseases, not elsewhere classified",benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiễm trùng khác do động vật truyền sang người chưa được phân loại
A28.0,Bệnh do Pasteurella,Pasteurellosis,benh do pasteurella | benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại | do pasteurella | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiễm trùng khác do động vật truyền sang người chưa được phân loại
A28.1,Bệnh mèo cào,Cat-scratch disease,benh meo cao | benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại | meo cao | mèo cào | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiễm trùng khác do động vật truyền sang người chưa được phân loại
A28.2,Nhiễm yersinia ngoài ruột,Extraintestinal yersiniosis,benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiem yersinia ngoai ruot | nhiễm trùng khác do động vật truyền sang người chưa được phân loại
A28.8,"Bệnh nhiễm trùng do động vật truyền sang người khác, chưa được phân loại nơi khác","Other specified zoonotic bacterial diseases, not elsewhere classified","benh nhiem trung do dong vat truyen sang nguoi khac, chua duoc phan loai noi khac | benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại | nhiem trung do dong vat truyen sang nguoi khac, chua duoc phan loai noi khac | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiễm trùng do động vật truyền sang người khác, chưa được phân loại nơi khác | nhiễm trùng khác do động vật truyền sang người chưa được phân loại"
A28.9,"Bệnh nhiễm trùng do động vật truyền sang người, không xác định","Zoonotic bacterial disease, unspecified","benh nhiem trung do dong vat truyen sang nguoi, khong xac dinh | benh nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | bệnh nhiễm trùng khác do động vật truyền sang người chưa được phân loại | nhiem trung do dong vat truyen sang nguoi, khong xac dinh | nhiem trung khac do dong vat truyen sang nguoi chua duoc phan loai | nhiễm trùng do động vật truyền sang người, không xác định | nhiễm trùng khác do động vật truyền sang người chưa được phân loại"
A30,Bệnh phong (bệnh Hansen),Leprosy [Hansen s disease],benh phong (benh hansen) | phong (benh hansen) | phong (bệnh hansen)
A30.0,Bệnh phong bất định,Indeterminate leprosy,benh phong (benh hansen) | benh phong bat dinh | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong bat dinh | phong bất định
A30.1,Bệnh phong thể củ,Tuberculoid leprosy,benh phong (benh hansen) | benh phong the cu | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong the cu | phong thể củ
A30.2,Bệnh phong thể củ ranh giới,Borderline tuberculoid leprosy,benh phong (benh hansen) | benh phong the cu ranh gioi | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong the cu ranh gioi | phong thể củ ranh giới
A30.3,Bệnh phong thể ranh giới,Borderline leprosy,benh phong (benh hansen) | benh phong the ranh gioi | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong the ranh gioi | phong thể ranh giới
A30.4,Bệnh phong thể u ranh giới,Borderline lepromatous leprosy,benh phong (benh hansen) | benh phong the u ranh gioi | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong the u ranh gioi | phong thể u ranh giới
A30.5,Bệnh phong thể u,Lepromatous leprosy,benh phong (benh hansen) | benh phong the u | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong the u | phong thể u
A30.8,Thể khác của bệnh phong,Other forms of leprosy,benh phong (benh hansen) | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | the khac cua benh phong
A30.9,"Bệnh phong, không xác định","Leprosy, unspecified","benh phong (benh hansen) | benh phong, khong xac dinh | bệnh phong (bệnh hansen) | phong (benh hansen) | phong (bệnh hansen) | phong, khong xac dinh | phong, không xác định"
A31,Nhiễm trùng do mycobacteria khác,Infection due to other mycobacteria,nhiem trung do mycobacteria khac
A31.0,Nhiễm mycobacteria ở phổi,Pulmonary mycobacterial infection,nhiem mycobacteria o phoi | nhiem trung do mycobacteria khac | nhiễm trùng do mycobacteria khác
A31.1,Nhiễm mycobacteria ở da,Cutaneous mycobacterial infection,nhiem mycobacteria o da | nhiem trung do mycobacteria khac | nhiễm trùng do mycobacteria khác
A31.8,Nhiễm khuẩn mycobacteria khác,Other mycobacterial infections,nhiem khuan mycobacteria khac | nhiem trung do mycobacteria khac | nhiễm trùng do mycobacteria khác
A31.9,Nhiễm khuẩn mycobacteria không xác định,"Mycobacterial infection, unspecified",nhiem khuan mycobacteria khong xac dinh | nhiem trung do mycobacteria khac | nhiễm trùng do mycobacteria khác
A32,Nhiễm trùng do Listeria monocytogenes,Listeriosis,nhiem trung do listeria monocytogenes
A32.0,Nhiễm trùng listeria ở da,Cutaneous listeriosis,nhiem trung do listeria monocytogenes | nhiem trung listeria o da | nhiễm trùng do listeria monocytogenes
A32.1†,Viêm màng não và viêm não màng não do Listeria,Listerial meningitis and meningoencephalitis,nhiem trung do listeria monocytogenes | nhiễm trùng do listeria monocytogenes | viem mang nao va viem nao mang nao do listeria
A32.7,Nhiễm trùng do listeria,Listerial sepsis,nhiem trung do listeria | nhiem trung do listeria monocytogenes | nhiễm trùng do listeria monocytogenes
A32.8,Thể khác của nhiễm trùng listeria,Other forms of listeriosis,nhiem trung do listeria monocytogenes | nhiễm trùng do listeria monocytogenes | the khac cua nhiem trung listeria
A32.9,"Nhiễm listeria, không xác định","Listeriosis, unspecified","nhiem listeria, khong xac dinh | nhiem trung do listeria monocytogenes | nhiễm trùng do listeria monocytogenes"
A33,Bệnh uốn ván sơ sinh,Tetanus neonatorum,benh uon van so sinh | uon van so sinh | uốn ván sơ sinh
A34,Bệnh uốn ván sản khoa,Obstetrical tetanus,benh uon van san khoa | uon van san khoa | uốn ván sản khoa
A35,Bệnh uốn ván khác,Other tetanus,benh uon van khac | uon van khac | uốn ván khác
A36,Bệnh bạch hầu,Diphtheria,bach hau | benh bach hau | bạch hầu
A36.0,Bệnh Bạch hầu họng,Pharyngeal diphtheria,bach hau | bach hau hong | benh bach hau | benh bach hau hong | bạch hầu | bạch hầu họng | bệnh bạch hầu
A36.1,Bệnh bạch hầu thể mũi - họng,Nasopharyngeal diphtheria,bach hau | bach hau the mui - hong | benh bach hau | benh bach hau the mui - hong | bạch hầu | bạch hầu thể mũi - họng | bệnh bạch hầu
A36.2,Bệnh bạch hầu thanh quản,Laryngeal diphtheria,bach hau | bach hau thanh quan | benh bach hau | benh bach hau thanh quan | bạch hầu | bạch hầu thanh quản | bệnh bạch hầu
A36.3,Bệnh bạch hầu da,Cutaneous diphtheria,bach hau | bach hau da | benh bach hau | benh bach hau da | bạch hầu | bạch hầu da | bệnh bạch hầu
A36.8,Bệnh bạch hầu khác,Other diphtheria,bach hau | bach hau khac | benh bach hau | benh bach hau khac | bạch hầu | bạch hầu khác | bệnh bạch hầu
